id,priority,year,category,title,official_url,open_pdf_url,official_code_url,relevance
causaltime2023,essential,2023,benchmark,"CausalTime: Realistically Generated Time-series for Benchmarking of Causal Discovery",https://arxiv.org/abs/2310.01753,https://arxiv.org/pdf/2310.01753,,"Realistic synthetic causal benchmarking"
informer2020,essential,2020,dataset,"Informer: Beyond Efficient Transformer for Long Sequence Time-Series Forecasting",https://arxiv.org/abs/2012.07436,https://arxiv.org/pdf/2012.07436,https://github.com/zhouhaoyi/Informer2020,"Required ETT dataset citation"
s4_2021,important,2021,ssm,"Efficiently Modeling Long Sequences with Structured State Spaces",https://arxiv.org/abs/2111.00396,https://arxiv.org/pdf/2111.00396,,"Structured-state-space foundation"
mamba2_2024,important,2024,ssm,"Transformers are SSMs: Generalized Models and Efficient Algorithms Through Structured State Space Duality",https://arxiv.org/abs/2405.21060,https://arxiv.org/pdf/2405.21060,https://github.com/state-spaces/mamba,"Mamba-2 and state-space duality"
mamba3_2026,advanced,2026,ssm,"Mamba-3: Improved Sequence Modeling using State Space Principles",https://arxiv.org/abs/2603.15569,https://arxiv.org/pdf/2603.15569,,"Recent state-space advances; fairness and compute caveat"
tsmamba2024,important,2024,ssm_forecasting,"A Mamba Foundation Model for Time Series Forecasting",https://arxiv.org/abs/2411.02941,https://arxiv.org/pdf/2411.02941,,"Foundation-model-scale Mamba forecasting"
mambats2024,important,2024,ssm_forecasting,"MambaTS: Improved Selective State Space Models for Long-term Time Series Forecasting",https://arxiv.org/abs/2405.16440,https://arxiv.org/pdf/2405.16440,,"Selective SSM adaptation for long-term forecasting"
timemachine2024,important,2024,ssm_forecasting,"A Time Series is Worth 4 Mambas for Long-term Forecasting",https://arxiv.org/abs/2403.09898,https://arxiv.org/pdf/2403.09898,,"Additional Mamba forecasting architecture"
cdnod2019,important,2019,causal_discovery,"Causal Discovery from Heterogeneous/Nonstationary Data with Independent Changes",https://arxiv.org/abs/1903.01672,https://arxiv.org/pdf/1903.01672,,"Nonstationarity-assisted causal discovery"
semistationary2024,advanced,2024,causal_discovery,"Causal Discovery in Semi-Stationary Time Series",https://arxiv.org/abs/2407.07291,https://arxiv.org/pdf/2407.07291,,"Changing causal structure assumptions"
sc3d2026,advanced,2026,causal_discovery,"SC3D: Dynamic and Differentiable Causal Discovery for Temporal and Instantaneous Graphs",https://arxiv.org/abs/2602.02830,https://arxiv.org/pdf/2602.02830,,"Recent dynamic temporal causal discovery"
adarnn2021,important,2021,nonstationary_forecasting,"AdaRNN: Adaptive Learning and Forecasting of Time Series",https://arxiv.org/abs/2108.04443,https://arxiv.org/pdf/2108.04443,,"Domain-adaptive recurrent baseline"
revin2022,important,2022,nonstationary_forecasting,"Reversible Instance Normalization for Accurate Time-Series Forecasting against Distribution Shift",https://openreview.net/forum?id=cGDAkQo1C0p,https://openreview.net/pdf?id=cGDAkQo1C0p,,"Distribution-shift normalization baseline"
autoformer2021,important,2021,forecasting,"Autoformer: Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting",https://arxiv.org/abs/2106.13008,https://arxiv.org/pdf/2106.13008,,"Decomposition forecasting comparator"
fedformer2022,important,2022,forecasting,"FEDformer: Frequency Enhanced Decomposed Transformer for Long-term Series Forecasting",https://arxiv.org/abs/2201.12740,https://arxiv.org/pdf/2201.12740,https://github.com/MAZiqing/FEDformer,"Frequency-domain comparator"
itransformer2023,important,2023,forecasting,"iTransformer: Inverted Transformers Are Effective for Time Series Forecasting",https://arxiv.org/abs/2310.06625,https://arxiv.org/pdf/2310.06625,,"Strong multivariate forecasting baseline"
patchtst2022,important,2022,forecasting,"A Time Series is Worth 64 Words: Long-term Forecasting with Transformers",https://arxiv.org/abs/2211.14730,https://arxiv.org/pdf/2211.14730,,"PatchTST reference baseline"
dlinear2022,important,2022,forecasting,"Are Transformers Effective for Time Series Forecasting?",https://arxiv.org/abs/2205.13504,https://arxiv.org/pdf/2205.13504,,"Simple strong DLinear comparator"
timesnet2022,important,2022,forecasting,"TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis",https://arxiv.org/abs/2210.02186,https://arxiv.org/pdf/2210.02186,,"General temporal modeling baseline"
adaptiveconformal2021,important,2021,uncertainty,"Adaptive Conformal Inference Under Distribution Shift",https://arxiv.org/abs/2106.00170,https://arxiv.org/pdf/2106.00170,,"Streaming uncertainty and empirical coverage"
cgt2026,advanced,2026,anomaly_detection,"Causally-Constrained Probabilistic Forecasting for Time-Series Anomaly Detection",https://arxiv.org/abs/2604.17998,https://arxiv.org/pdf/2604.17998,,"Causal graph plus Gaussian uncertainty; anomaly task"
tecamba2026,advanced,2026,anomaly_detection,"TECamba: Transfer entropy-based causal modeling for anomaly detection in nonstationary time series",https://www.sciencedirect.com/science/article/abs/pii/S0925231226009756,,,"Transfer-entropy causal modeling; publisher access may be restricted"
monash2021,important,2021,benchmark,"Monash Time Series Forecasting Archive",https://arxiv.org/abs/2105.06643,https://arxiv.org/pdf/2105.06643,https://forecastingdata.org/,"Electricity traffic and solar benchmark provenance"
largests2023,advanced,2023,benchmark,"LargeST: A Benchmark Dataset for Large-Scale Traffic Forecasting",https://arxiv.org/abs/2306.08259,https://arxiv.org/pdf/2306.08259,,"Scale stress test for traffic graphs"
